name,class,gender,work_well,not_work_well
Alice,2a,Female,"Bob, Cindy, Ethan, Frank","Grace, Hannah"
Bob,2a,Other,"Alice, Cindy","Grace, Hannah, Ethan, David"
Cindy,2a,Female,"Alice, Bob, David","Ethan"
David,2a,Male,"Bob, Cindy","Grace, Hannah"
Ethan,2a,Male,"Alice, Cindy, Hannah","Frank"
Frank,2a,Male,"Alice, David, Hannah","Cindy, Ethan"
Grace,2a,Female,"Bob, David, Frank, Hannah","Alice, Cindy"
Hannah,2a,Female,"Alice, Ethan","Bob, Cindy, Grace"
Isaac,2a,Male,"Cindy, Ethan, Grace","Alice, David, Frank, Jake"
Jake,2a,Male,"Alice, Bob, David","Cindy, Ethan"
Kathy,2a,Female,"Laura, Ethan, Grace","Alice, David"
Laura,2a,Female,"Kathy, Isaac, Hannah","Cindy, Jake"
Michael,2a,Male,"Nathan, David, Grace, Wendy","Alice, Laura"
Nathan,2a,Male,"Michael, Laura, Isaac","Bob, Jake"
Olivia,2a,Female,"Paul, Jake, Kathy, Rebecca","Cindy, Frank"
Paul,2a,Male,"Olivia, Laura, Nathan, Victor","Bob, Alice"
Quincy,2a,Other,"Grace, Laura, Jake, Yasmine","Alice"
Rebecca,2a,Female,"Alice, Cindy, Paul","Michael, Jake"
Sam,2a,Male,"Nathan, Quincy","Bob, Cindy, Hannah, Tiffany"
Tiffany,2a,Female,"Laura, Michael","Sam, Alice, Frank, Victor"
Ursula,2a,Female,"Alice, Kathy, Quincy, Xander","Bob, Michael"
Victor,2a,Male,"Olivia, Quincy","Cindy, Ethan"
Wendy,2a,Female,"Sam, Alice, Paul","Nathan, Jake"
Xander,2a,Male,"Alice, Laura","Cindy, Wendy, Frank, Yasmine"
Yasmine,2a,Female,"Alice, Quincy, Michael, Ursula","Nathan, Jake"
